#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID
"ENST00000632506.1","chr19","-","60950","70976","60950","60950","3","60950,66345,70927,","61894,66499,70976,","","uc286oxc.1"
"ENST00000633719.1","chr19","-","62112","66524","62112","62112","1","62112,","66524,","","uc286oxd.1"
"ENST00000633703.1","chr19","-","63820","70951","63820","63820","3","63820,66345,70927,","64213,66499,70951,","","uc286oxe.1"
"ENST00000816399.1","chr19","-","64774","70968","64774","64774","3","64774,66345,70927,","65226,66499,70968,","","uc344sek.1"
"ENST00000816398.1","chr19","-","64774","70973","64774","64774","3","64774,66345,70927,","65080,66499,70973,","","uc344sej.1"
"ENST00000634023.2","chr19","-","64778","72315","64778","64778","3","64778,66345,72269,","65226,66499,72315,","","uc286oxf.2"
"ENST00000632089.2","chr19","-","65791","71003","65791","65791","3","65791,66345,70927,","66047,66499,71003,","","uc286oxh.2"
"ENST00000816402.1","chr19","-","65819","70965","65819","65819","4","65819,66345,66825,70927,","66047,66499,66848,70965,","","uc344sen.1"
"ENST00000816401.1","chr19","-","65819","70966","65819","65819","3","65819,66345,70927,","66074,66499,70966,","","uc344sem.1"
"ENST00000631796.2","chr19","-","65819","70971","65819","65819","2","65819,70927,","66499,70971,","","uc286oxi.2"
"ENST00000816400.1","chr19","-","65819","70974","65819","65819","3","65819,66345,70927,","66025,66499,70974,","","uc344sel.1"
"ENST00000632496.2","chr19","-","65819","70990","65819","65819","3","65819,66345,70927,","66133,66499,70990,","","uc286oxg.2"
"ENST00000816397.1","chr19","-","65819","72334","65819","65819","3","65819,66345,72269,","66047,66499,72334,","","uc344sei.1"
"ENST00000816404.1","chr19","-","65821","70961","65821","65821","3","65821,66345,70927,","66028,66499,70961,","","uc344sep.1"
"ENST00000816405.1","chr19","-","65823","70957","65823","65823","3","65823,66345,70927,","66047,66616,70957,","","uc344seq.1"
