#"bin","chrom","chromStart","chromEnd","name","length","cpgNum","gcNum","perCpg","perGc","obsExp"
"585","chr19","70343","71344","CpG: 112","1001","112","731","22.4","73","0.86"
"587","chr19","267085","267660","CpG: 70","575","70","372","24.3","64.7","1.17"
"587","chr19","290594","292249","CpG: 165","1655","165","1028","19.9","62.1","1.04"
"587","chr19","295114","295354","CpG: 25","240","25","175","20.8","72.9","0.79"
"587","chr19","306214","306681","CpG: 40","467","40","339","17.1","72.6","0.66"
"587","chr19","308413","308930","CpG: 46","517","46","365","17.8","70.6","0.72"
"587","chr19","310258","310582","CpG: 26","324","26","207","16","63.9","0.79"
"587","chr19","311948","312224","CpG: 29","276","29","205","21","74.3","0.78"
"587","chr19","344164","344839","CpG: 70","675","70","406","20.7","60.1","1.15"
"587","chr19","345260","345590","CpG: 27","330","27","193","16.4","58.5","0.99"
"587","chr19","360071","361949","CpG: 183","1878","183","1234","19.5","65.7","0.91"
"587","chr19","375830","376094","CpG: 24","264","24","179","18.2","67.8","0.82"
"587","chr19","384250","384464","CpG: 16","214","16","138","15","64.5","0.72"
"587","chr19","387964","388350","CpG: 34","386","34","248","17.6","64.2","0.86"
"588","chr19","401970","402280","CpG: 25","310","25","192","16.1","61.9","0.84"
"588","chr19","403553","403864","CpG: 24","311","24","200","15.4","64.3","0.75"
"588","chr19","406131","406611","CpG: 34","480","34","328","14.2","68.3","0.61"
"588","chr19","407204","409511","CpG: 179","2307","179","1543","15.5","66.9","0.69"
"588","chr19","418898","419191","CpG: 24","293","24","198","16.4","67.6","0.72"
"588","chr19","422147","422629","CpG: 36","482","36","334","14.9","69.3","0.62"
"588","chr19","426321","427819","CpG: 114","1498","114","999","15.2","66.7","0.76"
"588","chr19","429260","429581","CpG: 21","321","21","161","13.1","50.2","1.07"
"588","chr19","429995","430323","CpG: 25","328","25","166","15.2","50.6","1.2"
"588","chr19","436540","436742","CpG: 18","202","18","145","17.8","71.8","0.72"
"588","chr19","440535","440918","CpG: 34","383","34","267","17.8","69.7","0.73"
"588","chr19","450801","451376","CpG: 40","575","40","326","13.9","56.7","0.87"
"588","chr19","452130","452400","CpG: 18","270","18","149","13.3","55.2","0.95"
"588","chr19","453728","453971","CpG: 18","243","18","151","14.8","62.1","0.77"
"588","chr19","457800","461273","CpG: 292","3473","292","2271","16.8","65.4","0.81"
"588","chr19","461598","462256","CpG: 51","658","51","416","15.5","63.2","0.78"
"588","chr19","468706","468950","CpG: 17","244","17","156","13.9","63.9","0.7"
"588","chr19","488554","490011","CpG: 140","1457","140","898","19.2","61.6","1.01"
"588","chr19","496158","496481","CpG: 26","323","26","229","16.1","70.9","0.65"
"588","chr19","496822","498135","CpG: 114","1313","114","979","17.4","74.6","0.77"
"588","chr19","498546","498992","CpG: 30","446","30","283","13.5","63.5","0.67"
"588","chr19","506526","507133","CpG: 40","607","40","405","13.2","66.7","0.62"
"588","chr19","507457","508079","CpG: 73","622","73","444","23.5","71.4","0.93"
"588","chr19","518847","519905","CpG: 137","1058","137","796","25.9","75.2","0.92"
"588","chr19","523165","523661","CpG: 49","496","49","352","19.8","71","0.81"
"73","chr19","524156","524369","CpG: 17","213","17","153","16","71.8","0.68"
"589","chr19","531114","532809","CpG: 187","1695","187","1224","22.1","72.2","0.85"
"589","chr19","535919","536783","CpG: 64","864","64","592","14.8","68.5","0.63"
"589","chr19","540021","542033","CpG: 136","2012","136","1352","13.5","67.2","0.6"
"589","chr19","551290","551542","CpG: 23","252","23","167","18.3","66.3","0.83"
"589","chr19","572278","573134","CpG: 98","856","98","601","22.9","70.2","0.94"
"589","chr19","577755","578441","CpG: 61","686","61","490","17.8","71.4","0.71"
"589","chr19","579191","579790","CpG: 43","599","43","399","14.4","66.6","0.65"
"589","chr19","581325","581599","CpG: 22","274","22","178","16.1","65","0.76"
"589","chr19","585259","585502","CpG: 30","243","30","186","24.7","76.5","0.89"
"589","chr19","588250","588622","CpG: 31","372","31","265","16.7","71.2","0.66"
"589","chr19","589490","591719","CpG: 299","2229","299","1607","26.8","72.1","1.05"
"589","chr19","595661","595971","CpG: 24","310","24","207","15.5","66.8","0.73"
"589","chr19","603638","603945","CpG: 26","307","26","178","16.9","58","1.01"
"589","chr19","611291","611579","CpG: 22","288","22","204","15.3","70.8","0.65"
"589","chr19","612989","614016","CpG: 76","1027","76","551","14.8","53.7","1.03"
"589","chr19","615691","623505","CpG: 594","7814","594","5251","15.2","67.2","0.67"
"589","chr19","632697","633678","CpG: 89","981","89","641","18.1","65.3","0.85"
"589","chr19","639150","639413","CpG: 22","263","22","180","16.7","68.4","0.76"
"589","chr19","639565","640370","CpG: 88","805","88","516","21.9","64.1","1.06"
"589","chr19","640789","641005","CpG: 17","216","17","156","15.7","72.2","0.6"
"589","chr19","643092","643720","CpG: 54","628","54","410","17.2","65.3","0.81"
"589","chr19","646403","648623","CpG: 153","2220","153","1399","13.8","63","0.7"
"589","chr19","648990","649467","CpG: 40","477","40","336","16.8","70.4","0.69"
"589","chr19","651197","653193","CpG: 141","1996","141","1349","14.1","67.6","0.62"
"590","chr19","662284","663200","CpG: 106","916","106","624","23.1","68.1","1"
"590","chr19","667289","667543","CpG: 23","254","23","184","18.1","72.4","0.71"
"590","chr19","675671","675881","CpG: 17","210","17","133","16.2","63.3","0.81"
"590","chr19","676348","676582","CpG: 29","234","29","182","24.8","77.8","0.83"
"590","chr19","679786","680728","CpG: 121","942","121","732","25.7","77.7","0.85"
"590","chr19","681345","681547","CpG: 23","202","23","143","22.8","70.8","0.92"
"590","chr19","690638","690927","CpG: 22","289","22","190","15.2","65.7","0.7"
"590","chr19","703859","704279","CpG: 35","420","35","315","16.7","75","0.72"
"590","chr19","708530","708742","CpG: 17","212","17","149","16","70.3","0.65"
"590","chr19","709227","709990","CpG: 79","763","79","579","20.7","75.9","0.72"
"590","chr19","710822","711066","CpG: 21","244","21","160","17.2","65.6","0.8"
