# hgIntegrator: database=hg38 region=chr18:1-80373285 Sun Jun 22 08:06:51 2025
#cpgIslandExt.chrom	cpgIslandExt.chromStart	cpgIslandExt.chromEnd	cpgIslandExt.name	cpgIslandExt.length	cpgIslandExt.cpgNum	cpgIslandExt.gcNum	cpgIslandExt.perCpg	cpgIslandExt.perGc	cpgIslandExt.obsExp
chr18	11708	12372	CpG: 67	664	67	499	20.2	75.2	0.72
chr18	48911	49655	CpG: 58	744	58	489	15.6	65.7	0.72
chr18	73062	73563	CpG: 51	501	51	348	20.4	69.5	0.86
chr18	75576	76027	CpG: 51	451	51	308	22.6	68.3	0.98
chr18	112309	112529	CpG: 21	220	21	159	19.1	72.3	0.75
chr18	158278	159311	CpG: 78	1033	78	558	15.1	54	1.04
chr18	267710	268382	CpG: 61	672	61	436	18.2	64.9	0.87
chr18	499315	501011	CpG: 182	1696	182	1119	21.5	66	1
chr18	514510	515477	CpG: 99	967	99	712	20.5	73.6	0.86
chr18	580179	580899	CpG: 56	720	56	415	15.6	57.6	0.97
chr18	596829	597254	CpG: 39	425	39	309	18.4	72.7	0.73
chr18	657401	658745	CpG: 135	1344	135	884	20.1	65.8	0.93
chr18	712232	713086	CpG: 106	854	106	590	24.8	69.1	1.04
chr18	811648	812708	CpG: 109	1060	109	702	20.6	66.2	0.94
chr18	904577	905697	CpG: 73	1120	73	633	13	56.5	0.82
chr18	906256	909573	CpG: 243	3317	243	2013	14.7	60.7	0.8
chr18	2571287	2571581	CpG: 33	294	33	184	22.4	62.6	1.15
chr18	2654919	2656818	CpG: 199	1899	199	1250	21	65.8	0.97
chr18	2846567	2848177	CpG: 150	1610	150	1032	18.6	64.1	0.91
chr18	2905952	2907350	CpG: 152	1398	152	1004	21.7	71.8	0.85
chr18	2913061	2913309	CpG: 18	248	18	158	14.5	63.7	0.72
chr18	3012549	3013268	CpG: 105	719	105	568	29.2	79	0.94
chr18	3067299	3067535	CpG: 20	236	20	145	16.9	61.4	0.91
chr18	3247295	3248259	CpG: 79	964	79	611	16.4	63.4	0.82
chr18	3261710	3262673	CpG: 116	963	116	687	24.1	71.3	0.95
